subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
6.0,-38.17511617179753,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,3.299999999999997,0.945511315450357
6.0,-1.125064065329525,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,6.799999999999997,0.05448868454964294
6.0,141.92498804113848,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,9.299999999999997,0.4571086314438904
6.0,-149.02495985239352,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,13.400000000000006,0.05448868454964294
6.0,-74.9749077459254,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,16.5,0.4026199468942474
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6.0,225.32540489288272,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.2999999999999972,0.6468212888974807
,,,,,,,,,,
6.0,145.42550910581883,1.0,-1.0,-1.0,1.0,4.0,1.0,-1.0,0.0,0.29869002655287624
6.0,138.47556121228683,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.9000000000000057,0.24420134200323332
6.0,-17.474386681245164,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.0,0.0
6.0,-40.42433457477705,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.200000000000003,0.0
6.0,-26.374282468309048,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,14.299999999999997,0.0
6.0,18.675769638158954,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,17.400000000000006,0.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6.0,-192.8237092971607,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.5999999999999943,0.4026199468942474
6.0,160.2263428093073,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,5.199999999999989,0.0
6.0,13.276394915775427,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.900000000000006,0.48840268400646664
6.0,-168.67355297775657,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.0,0.05448868454964294
6.0,-224.62350087128857,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,13.599999999999994,0.4026199468942474
6.0,-149.57344876482057,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,16.69999999999999,0.05448868454964294
6.0,-255.52339665835245,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,20.0,0.7557986579967666
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6.0,78.82696808692378,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.3000000000000114,1.3299840791154525
6.0,17.877020193391786,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.900000000000006,0.8647760270960526
6.0,252.9270722998598,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.599999999999994,0.24420134200323332
6.0,410.9771244063278,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.300000000000011,0.05448868454964294
6.0,-2.9728234872040957,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,14.400000000000006,0.9999999999999998
,,,,,,,,,,
,,,,,,,,,,
6.0,588.1773328322,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,0.0
6.0,15.227384938668024,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.800000000000011,0.05448868454964294
6.0,-145.72256295486397,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.5,1.054488684549643
,,,,,,,,,,
6.0,258.37754125807214,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.6999999999999886,1.158418604891014
6.0,-6.572406635459856,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,3.5,0.24420134200323332
6.0,-199.52235452899185,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.300000000000011,0.5115973159935333
6.0,140.52769757747615,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.699999999999989,2.4652080520193995
,,,,,,,,,,
6.0,610.6278017904123,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.3000000000000114,0.10897736909928588
6.0,471.67785389688026,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.0,0.0
