subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
1.0,-32.68844324146994,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.5999999999999943,0.9768053680129333
1.0,-75.9522637795277,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,5.900000000000006,0.0
1.0,26.78391568241466,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,9.800000000000011,0.6468212888974807
1.0,-154.4799048556431,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,13.099999999999994,0.3531787111025192
1.0,-133.74372539370086,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,2.316837209782028
1.0,-109.00754593175861,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,4.0,1.2936425777949614
1.0,-200.27136646981637,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,7.5,0.4026199468942474
1.0,-83.53518700787413,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,10.199999999999989,0.0
1.0,-101.79900754593177,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,14.300000000000011,0.24420134200323332
1.0,-70.06282808398953,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,16.900000000000006,0.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1.0,-86.38193077427832,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,2.8000000000000114,1.4934501327643812
1.0,-49.645751312336074,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,5.300000000000011,0.5973800531057525
1.0,-49.90957185039372,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,9.599999999999994,0.5428913685561096
1.0,-172.17339238845148,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,12.800000000000011,0.24420134200323332
1.0,-103.43721292650923,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0999999999999943,0.5428913685561096
1.0,-82.70103346456699,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,5.599999999999994,0.3531787111025192
1.0,54.03514599737525,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,8.800000000000011,0.48840268400646664
1.0,8.771325459317495,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,13.0,0.0
1.0,-116.49249507874015,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,16.69999999999999,0.0
1.0,200.2436843832021,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,20.0,1.6155272363349042
1.0,-131.02013615485566,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.8999999999999773,2.1665180254665235
1.0,-70.28395669291342,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,5.399999999999977,0.6468212888974807
1.0,138.45222276902882,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,8.399999999999977,0.24420134200323332
1.0,-42.811597769028936,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,11.199999999999989,0.05448868454964294
1.0,43.92458169291331,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,13.800000000000011,0.1634660536489288
1.0,-155.33923884514434,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,2.6000000000000227,0.5660860005431761
1.0,-186.6030593832021,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,5.600000000000023,0.05448868454964294
1.0,-168.86687992125985,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,8.600000000000023,0.29869002655287624
1.0,-65.13070045931761,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.6000000000000227,1.6649684721266325
1.0,407.60547900262463,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,3.6000000000000227,0.4026199468942474
1.0,132.34165846456688,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,6.300000000000011,0.05448868454964294
1.0,77.07783792650912,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,10.699999999999989,0.05448868454964294
1.0,-10.185982611548525,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,13.699999999999989,0.24420134200323332
1.0,222.55019685039372,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,0.8999999999999773,1.9404638666924423
1.0,2.2863763123359604,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,4.5,0.6518687376553954
1.0,-75.9774442257218,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,7.600000000000023,1.9273641322212052
1.0,80.75873523622045,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,3.6999999999999886,0.9999999999999998
1.0,350.4949146981627,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,6.399999999999977,0.10897736909928588
1.0,-105.76890583989507,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,10.800000000000011,0.0
1.0,2.967273622047287,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,15.300000000000011,0.05448868454964294
1.0,95.70345308398953,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,17.80000000000001,0.4026199468942474
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
